Kingdom,Phylum,Class,Order,Family,Genus,Species,RG620,RG627,total_count
Fungi,Basidiomycota,Agaricomycetes,Auriculariales,Auriculariaceae,Exidia,pithya,0.00166112956810631,0.00249148741798854,0.00221471679309008
Fungi,Ascomycota,Dothideomycetes,Dothideales,Cladosporiaceae,Cladosporium,NA,0.00514950166112957,0.000664396644796944,0.00215934887326283
Fungi,Basidiomycota,Agaricomycetes,Sistotremastrales,Sistotremastraceae,NA,NA,0,0.00290673532098663,0.00193787719395382
Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Schizoporaceae,Xylodon,asperus,0.000830564784053156,0.0023253882567893,0.00182714135429932
Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,NA,NA,0.00415282392026578,0.000581347064197326,0.00177177343447207
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,NA,NA,0.000498338870431894,0.0023253882567893,0.00171640551464481
Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,NA,NA,0.00249169435215947,0.00132879328959389,0.00171640551464481
Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Tulasnellaceae,Tulasnella,asymmetrica,0.000332225913621262,0.0023253882567893,0.00166103759481756
Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Tulasnellaceae,Tulasnella,NA,0.00116279069767442,0.00166099161199236,0.00149493383533581
Fungi,Basidiomycota,Tremellomycetes,Tremellales,Syzygosporaceae,Syzygospora,bachmannii,0.00299003322259136,0.000664396644796944,0.00143956591550855
Fungi,Basidiomycota,Agaricostilbomycetes,Agaricostilbales,Kondoaceae,Bensingtonia,naganoensis,0.00116279069767442,0.00149489245079312,0.0013841979956813
Fungi,Basidiomycota,Microbotryomycetes,Microbotryomycetes_ord_incertae_sedis,NA,NA,NA,0.00132890365448505,0.00141184287019351,0.0013841979956813
Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Naganishia,globosa,0.00348837209302326,0.000249148741798854,0.00132883007585405
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Phaeosphaeria,avenaria,0.00149501661129568,0.00116269412839465,0.0012734621560268
Fungi,Ascomycota,Dothideomycetes,NA,NA,NA,NA,0.00382059800664452,0,0.0012734621560268
Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Sorocybe,NA,0.00232558139534884,0.000664396644796944,0.00121809423619955
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Ganoderma,NA,0.000166112956810631,0.00157794203139274,0.00110735839654504
Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Dioszegia,NA,0.00232558139534884,0.000498297483597708,0.00110735839654504
Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hyphodontiaceae,Hyphodontia,pallidula,0.000166112956810631,0.00149489245079312,0.00105199047671779
Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Resiniciaceae,Resinicium,saccharicola,0.000166112956810631,0.00149489245079312,0.00105199047671779
Metazoa,Mollusca,Gastropoda,Stylommatophora,NA,NA,NA,0.00315614617940199,0,0.00105199047671779
Fungi,Basidiomycota,Agaricomycetes,Agaricales,NA,NA,NA,0,0.00141184287019351,0.000941254637063286
Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,NA,NA,0.000332225913621262,0.00116269412839465,0.000885886717236033
Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,victoriae,0.000996677740863787,0.00083049580599618,0.000885886717236033
Amoebozoa,Evosea,Myxogastrea,Physarales,Physaraceae,Badhamia,utricularis,0,0.00124574370899427,0.000830518797408781
Fungi,Ascomycota,Dothideomycetes,Dothideales,Dothideaceae,Dothiora,NA,0.00166112956810631,0.00041524790299809,0.000830518797408781
Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Lecophagus,NA,0.00199335548172757,0.000166099161199236,0.000775150877581529
Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Botryobasidiaceae,Botryobasidium,subcoronatum,0.00166112956810631,0.000332198322398472,0.000775150877581529
Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,NA,NA,NA,0.00215946843853821,0,0.000719782957754277
Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,NA,NA,NA,0.00182724252491694,0.000166099161199236,0.000719782957754277
Fungi,Ascomycota,Taphrinomycetes,Taphrinales,NA,NA,NA,0.000830564784053156,0.000581347064197326,0.000664415037927025
Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Peniophorellaceae,Peniophorella,pubera,0.000166112956810631,0.00083049580599618,0.000609047118099773
Viridiplantae,Tracheophyta,Angiospermae,Fabales,Fabaceae,Medicago,sativa,0.00132890365448505,0.000166099161199236,0.000553679198272521
Fungi,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Mrakiaceae,Itersonilia,NA,0.00149501661129568,0,0.000498311278445269
Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Trichomeriaceae,Knufia,NA,0.000830564784053156,0.000249148741798854,0.000442943358618017
Fungi,Basidiomycota,Cystobasidiomycetes,NA,NA,NA,NA,0.000166112956810631,0.000581347064197326,0.000442943358618017
Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Yamadazyma,mexicana,0.00116279069767442,0,0.000387575438790765
Fungi,Ascomycota,Pichiomycetes,Serinales,Metschnikowiaceae,Metschnikowia,pulcherrima,0.00116279069767442,0,0.000387575438790765
Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hyphodontiaceae,Hyphodontia,crustosa,0.000498338870431894,0.000332198322398472,0.000387575438790765
Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,Powellomycetaceae,NA,NA,0.00116279069767442,0,0.000387575438790765
Fungi,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Coccomyces,strobi,0.000332225913621262,0.000332198322398472,0.000332207518963513
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Incrustoporiaceae,Tyromyces,chioneus,0,0.000498297483597708,0.000332207518963513
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Cylindrobasidium,evolvens,0.000166112956810631,0.000332198322398472,0.00027683959913626
Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Tulasnellaceae,Tulasnella,violea,0,0.00041524790299809,0.00027683959913626
NA,NA,NA,NA,NA,NA,NA,0,0.00041524790299809,0.00027683959913626
Metazoa,Chordata,Mammalia,Rodentia,Muridae,Rattus,norvegicus,0.000498338870431894,8.3049580599618e-05,0.000221471679309008
Straminipila,Raphidophyta,Raphidophyceae,Chattonellales,Vacuolariaceae,Merotricha,bacillata,0.000166112956810631,0.000249148741798854,0.000221471679309008
Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Trebouxia,NA,0,0.000249148741798854,0.000166103759481756
