"Kingdom","Phylum","Class","Order","Family","Genus","rp_seq_all","rp_seq_RG620r_S89","rp_seq_RG627_S90","seq_all","seq_RG620r_S89","seq_RG627_S90","maxResolution","asv_count_all","asv_count_RG620_S89_gt_0","asv_count_RG627_S90_gt_0","maxResol_txt"
"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Phaeotremellaceae","Phaeotremella",0.00861063274262541,0.0247781684245773,0.000581975390754905,155,148,7,6,1,1,1,"Genus"
"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Sistrotremataceae","Sistotrema",0.00694405866340759,0.00535744182153022,0.0077319587628866,125,32,93,7,1,1,1,"Species"
"Viridiplantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Pinus",0.00483306482973168,0.0142307048384396,0.00016627868307283,87,85,2,6,1,1,1,"Genus"
"Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Schizoporaceae","Xylodon",0.00427754013665907,0.000837100284614097,0.00598603259062188,77,5,72,7,2,1,2,"Species"
"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Tulasnellaceae","Tulasnella",0.00344425309705016,0.00150678051230537,0.00440638510143,62,9,53,7,3,2,3,"Species"
"Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","","",0.00299983334259208,0.000167420056922819,0.00440638510143,54,1,53,4,3,1,3,"Order"
"Fungi","Basidiomycota","Agaricomycetes","Polyporales","","",0.00272207099605577,0.00133936045538255,0.00340871300299302,49,8,41,4,2,2,2,"Order"
"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hymenogastraceae","Hymenogaster",0.00244430864951947,0.00502260170768458,0.00116395078150981,44,30,14,6,1,1,1,"Genus"
"Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Auriculariaceae","Exidia",0.00222209877229043,0.00167420056922819,0.00249418024609245,40,10,30,7,1,1,1,"Species"
"Fungi","Ascomycota","Dothideomycetes","Dothideales","Cladosporiaceae","Cladosporium",0.00216654630298317,0.0051900217646074,0.00066511473229132,39,31,8,6,1,1,1,"Genus"
"Fungi","Basidiomycota","Agaricomycetes","Sistotremastrales","Sistotremastraceae","",0.00194433642575412,0,0.00290987695377453,35,0,35,5,1,0,1,"Family"
"Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","",0.00177767901783234,0.00418550142307048,0.000581975390754905,32,25,7,5,1,1,1,"Family"
"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Mycenaceae","",0.00172212654852508,0.000502260170768458,0.00232790156301962,31,3,28,5,2,1,2,"Family"
"Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","",0.00172212654852508,0.00251130085384229,0.00133022946458264,31,15,16,5,1,1,1,"Family"
"Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Hyphodontiaceae","Hyphodontia",0.00144436420198878,0.000669680227691277,0.00182906551380113,26,4,22,7,2,2,2,"Species"
"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Syzygosporaceae","Syzygospora",0.00144436420198878,0.00301356102461075,0.00066511473229132,26,18,8,7,1,1,1,"Species"
"Fungi","Basidiomycota","Agaricostilbomycetes","Agaricostilbales","Kondoaceae","Bensingtonia",0.00138881173268152,0.00117194039845974,0.00149650814765547,25,7,18,7,1,1,1,"Species"
"Fungi","Basidiomycota","Microbotryomycetes","Microbotryomycetes_ord_incertae_sedis","","",0.00138881173268152,0.00133936045538255,0.00141336880611906,25,8,17,4,1,1,1,"Order"
"Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Naganishia",0.00133325926337426,0.00351582119537921,0.000249418024609245,24,21,3,7,1,1,1,"Species"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeria",0.001277706794067,0.00150678051230537,0.00116395078150981,23,9,14,7,1,1,1,"Species"
"Fungi","Ascomycota","Dothideomycetes","","","",0.001277706794067,0.00385066130922484,0,23,23,0,3,1,1,0,"Class"
"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Sorocybe",0.00122215432475974,0.00234388079691947,0.00066511473229132,22,14,8,6,1,1,1,"Genus"
"Fungi","Basidiomycota","Agaricomycetes","Polyporales","Polyporaceae","Ganoderma",0.00111104938614521,0.000167420056922819,0.00157964748919189,20,1,19,6,1,1,1,"Genus"
"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Dioszegia",0.00111104938614521,0.00234388079691947,0.00049883604921849,20,14,6,6,1,1,1,"Genus"
"Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Resiniciaceae","Resinicium",0.00105549691683795,0.000167420056922819,0.00149650814765547,19,1,18,7,1,1,1,"Species"
"Metazoa","Mollusca","Gastropoda","Stylommatophora","","",0.00105549691683795,0.00318098108153357,0,19,19,0,4,1,1,0,"Order"
"Fungi","Basidiomycota","Agaricomycetes","Agaricales","","",0.000944391978223432,0,0.00141336880611906,17,0,17,4,2,0,2,"Order"
"Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Hymenochaetaceae","",0.000888839508916171,0.000334840113845639,0.00116395078150981,16,2,14,5,1,1,1,"Family"
"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma",0.000888839508916171,0.00100452034153692,0.00083139341536415,16,6,10,7,1,1,1,"Species"
"Amoebozoa","Evosea","Myxogastrea","Physarales","Physaraceae","Badhamia",0.000833287039608911,0,0.00124709012304623,15,0,15,7,1,0,1,"Species"
"Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothideaceae","Dothiora",0.000833287039608911,0.00167420056922819,0.000415696707682075,15,10,5,6,1,1,1,"Genus"
"Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Lecophagus",0.00077773457030165,0.00200904068307383,0.00016627868307283,14,12,2,6,1,1,1,"Genus"
"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Botryobasidiaceae","Botryobasidium",0.00077773457030165,0.00167420056922819,0.00033255736614566,14,10,4,7,1,1,1,"Species"
"Fungi","Basidiomycota","Pucciniomycetes","Pucciniales","","",0.000722182100994389,0.00217646073999665,0,13,13,0,4,1,1,0,"Order"
"Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales","","",0.000722182100994389,0.00184162062615101,0.00016627868307283,13,11,2,4,1,1,1,"Order"
"Fungi","Ascomycota","Taphrinomycetes","Taphrinales","","",0.000666629631687128,0.000837100284614097,0.000581975390754905,12,5,7,4,1,1,1,"Order"
"Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Peniophorellaceae","Peniophorella",0.000611077162379868,0.000167420056922819,0.00083139341536415,11,1,10,7,1,1,1,"Species"
"Viridiplantae","Tracheophyta","Angiospermae","Fabales","Fabaceae","Medicago",0.000555524693072607,0.00133936045538255,0.00016627868307283,10,8,2,7,1,1,1,"Species"
"Fungi","Basidiomycota","Tremellomycetes","Cystofilobasidiales","Mrakiaceae","Itersonilia",0.000499972223765346,0.00150678051230537,0,9,9,0,6,1,1,0,"Genus"
"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Trichomeriaceae","Knufia",0.000444419754458086,0.000837100284614097,0.000249418024609245,8,5,3,6,1,1,1,"Genus"
"Fungi","Basidiomycota","Cystobasidiomycetes","","","",0.000444419754458086,0.000167420056922819,0.000581975390754905,8,1,7,3,1,1,1,"Class"
"Fungi","Ascomycota","Pichiomycetes","Serinales","Debaryomycetaceae","Yamadazyma",0.000388867285150825,0.00117194039845974,0,7,7,0,7,1,1,0,"Species"
"Fungi","Ascomycota","Pichiomycetes","Serinales","Metschnikowiaceae","Metschnikowia",0.000388867285150825,0.00117194039845974,0,7,7,0,7,1,1,0,"Species"
"Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales","Powellomycetaceae","",0.000388867285150825,0.00117194039845974,0,7,7,0,5,1,1,0,"Family"
"Fungi","Ascomycota","Leotiomycetes","Rhytismatales","Rhytismataceae","Coccomyces",0.000333314815843564,0.000334840113845639,0.00033255736614566,6,2,4,7,1,1,1,"Species"
"Fungi","Basidiomycota","Agaricomycetes","Polyporales","Incrustoporiaceae","Tyromyces",0.000333314815843564,0,0.00049883604921849,6,0,6,7,1,0,1,"Species"
"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Physalacriaceae","Cylindrobasidium",0.000277762346536304,0.000167420056922819,0.00033255736614566,5,1,4,7,1,1,1,"Species"
"Metazoa","Chordata","Mammalia","Rodentia","Muridae","Rattus",0.000222209877229043,0.000502260170768458,8.3139341536415e-05,4,3,1,7,1,1,1,"Species"
"Straminipila","Raphidophyta","Raphidophyceae","Chattonellales","Vacuolariaceae","Merotricha",0.000222209877229043,0.000167420056922819,0.000249418024609245,4,1,3,7,1,1,1,"Species"
"Viridiplantae","Chlorophyta","Trebouxiophyceae","Trebouxiales","Trebouxiaceae","Trebouxia",0.000166657407921782,0,0.000249418024609245,3,0,3,6,1,0,1,"Genus"
